county,id,N,P,V,PE,total_precincts,reported_precincts
ANDERSON,9240,TRUMP,REP,0,0.0,23,0
ANDERSON,9160,BIDEN,DEM,0,0.0,23,0
ANDREWS,9240,TRUMP,REP,0,0.0,5,0
ANDREWS,9160,BIDEN,DEM,0,0.0,5,0
ANGELINA,9240,TRUMP,REP,0,0.0,43,0
ANGELINA,9160,BIDEN,DEM,0,0.0,43,0
ARANSAS,9240,TRUMP,REP,0,0.0,6,0
ARANSAS,9160,BIDEN,DEM,0,0.0,6,0
ARCHER,9240,TRUMP,REP,0,0.0,12,0
ARCHER,9160,BIDEN,DEM,0,0.0,12,0
ARMSTRONG,9240,TRUMP,REP,0,0.0,8,0
ARMSTRONG,9160,BIDEN,DEM,0,0.0,8,0
ATASCOSA,9240,TRUMP,REP,0,0.0,25,0
ATASCOSA,9160,BIDEN,DEM,0,0.0,25,0
AUSTIN,9240,TRUMP,REP,0,0.0,18,0
AUSTIN,9160,BIDEN,DEM,0,0.0,18,0
BAILEY,9240,TRUMP,REP,0,0.0,5,0
BAILEY,9160,BIDEN,DEM,0,0.0,5,0
BANDERA,9240,TRUMP,REP,0,0.0,11,0
BANDERA,9160,BIDEN,DEM,0,0.0,11,0
BASTROP,9240,TRUMP,REP,0,0.0,23,0
BASTROP,9160,BIDEN,DEM,0,0.0,23,0
BAYLOR,9240,TRUMP,REP,0,0.0,5,0
BAYLOR,9160,BIDEN,DEM,0,0.0,5,0
BEE,9240,TRUMP,REP,0,0.0,18,0
BEE,9160,BIDEN,DEM,0,0.0,18,0
BELL,9240,TRUMP,REP,0,0.0,49,0
BELL,9160,BIDEN,DEM,0,0.0,49,0
BEXAR,9240,TRUMP,REP,0,0.0,767,0
BEXAR,9160,BIDEN,DEM,0,0.0,767,0
BLANCO,9240,TRUMP,REP,0,0.0,7,0
BLANCO,9160,BIDEN,DEM,0,0.0,7,0
BORDEN,9240,TRUMP,REP,0,0.0,8,0
BORDEN,9160,BIDEN,DEM,0,0.0,8,0
BOSQUE,9240,TRUMP,REP,0,0.0,12,0
BOSQUE,9160,BIDEN,DEM,0,0.0,12,0
BOWIE,9240,TRUMP,REP,0,0.0,43,0
BOWIE,9160,BIDEN,DEM,0,0.0,43,0
BRAZORIA,9240,TRUMP,REP,0,0.0,67,0
BRAZORIA,9160,BIDEN,DEM,0,0.0,67,0
BRAZOS,9240,TRUMP,REP,0,0.0,99,0
BRAZOS,9160,BIDEN,DEM,0,0.0,99,0
BREWSTER,9240,TRUMP,REP,0,0.0,9,0
BREWSTER,9160,BIDEN,DEM,0,0.0,9,0
BRISCOE,9240,TRUMP,REP,0,0.0,6,0
BRISCOE,9160,BIDEN,DEM,0,0.0,6,0
BROOKS,9240,TRUMP,REP,0,0.0,6,0
BROOKS,9160,BIDEN,DEM,0,0.0,6,0
BROWN,9240,TRUMP,REP,0,0.0,19,0
BROWN,9160,BIDEN,DEM,0,0.0,19,0
BURLESON,9240,TRUMP,REP,0,0.0,14,0
BURLESON,9160,BIDEN,DEM,0,0.0,14,0
BURNET,9240,TRUMP,REP,0,0.0,21,0
BURNET,9160,BIDEN,DEM,0,0.0,21,0
CALDWELL,9240,TRUMP,REP,0,0.0,32,0
CALDWELL,9160,BIDEN,DEM,0,0.0,32,0
CALHOUN,9240,TRUMP,REP,0,0.0,26,0
CALHOUN,9160,BIDEN,DEM,0,0.0,26,0
CALLAHAN,9240,TRUMP,REP,0,0.0,8,0
CALLAHAN,9160,BIDEN,DEM,0,0.0,8,0
CAMERON,9240,TRUMP,REP,0,0.0,104,0
CAMERON,9160,BIDEN,DEM,0,0.0,104,0
CAMP,9240,TRUMP,REP,0,0.0,5,0
CAMP,9160,BIDEN,DEM,0,0.0,5,0
CARSON,9240,TRUMP,REP,0,0.0,9,0
CARSON,9160,BIDEN,DEM,0,0.0,9,0
CASS,9240,TRUMP,REP,0,0.0,19,0
CASS,9160,BIDEN,DEM,0,0.0,19,0
CASTRO,9240,TRUMP,REP,0,0.0,9,0
CASTRO,9160,BIDEN,DEM,0,0.0,9,0
CHAMBERS,9240,TRUMP,REP,0,0.0,15,0
CHAMBERS,9160,BIDEN,DEM,0,0.0,15,0
CHEROKEE,9240,TRUMP,REP,0,0.0,25,0
CHEROKEE,9160,BIDEN,DEM,0,0.0,25,0
CHILDRESS,9240,TRUMP,REP,0,0.0,5,0
CHILDRESS,9160,BIDEN,DEM,0,0.0,5,0
CLAY,9240,TRUMP,REP,0,0.0,17,0
CLAY,9160,BIDEN,DEM,0,0.0,17,0
COCHRAN,9240,TRUMP,REP,0,0.0,4,0
COCHRAN,9160,BIDEN,DEM,0,0.0,4,0
COKE,9240,TRUMP,REP,0,0.0,5,0
COKE,9160,BIDEN,DEM,0,0.0,5,0
COLEMAN,9240,TRUMP,REP,0,0.0,5,0
COLEMAN,9160,BIDEN,DEM,0,0.0,5,0
COLLIN,9240,TRUMP,REP,0,0.0,240,0
COLLIN,9160,BIDEN,DEM,0,0.0,240,0
COLLINGSWORTH,9240,TRUMP,REP,0,0.0,8,0
COLLINGSWORTH,9160,BIDEN,DEM,0,0.0,8,0
COLORADO,9240,TRUMP,REP,0,0.0,5,0
COLORADO,9160,BIDEN,DEM,0,0.0,5,0
COMAL,9240,TRUMP,REP,0,0.0,30,0
COMAL,9160,BIDEN,DEM,0,0.0,30,0
COMANCHE,9240,TRUMP,REP,0,0.0,15,0
COMANCHE,9160,BIDEN,DEM,0,0.0,15,0
CONCHO,9240,TRUMP,REP,0,0.0,9,0
CONCHO,9160,BIDEN,DEM,0,0.0,9,0
COOKE,9240,TRUMP,REP,0,0.0,30,0
COOKE,9160,BIDEN,DEM,0,0.0,30,0
CORYELL,9240,TRUMP,REP,0,0.0,16,0
CORYELL,9160,BIDEN,DEM,0,0.0,16,0
COTTLE,9240,TRUMP,REP,0,0.0,5,0
COTTLE,9160,BIDEN,DEM,0,0.0,5,0
CRANE,9240,TRUMP,REP,0,0.0,4,0
CRANE,9160,BIDEN,DEM,0,0.0,4,0
