county,N,V,total_precincts,reported_precincts,precinct_diff
ANDERSON,BIDEN,3934,23,23,0
ANDERSON,OTH,159,23,23,0
ANDERSON,TRUMP,15062,23,23,0
ANDREWS,BIDEN,635,5,5,0
ANDREWS,OTH,47,5,5,0
ANDREWS,TRUMP,3923,5,5,0
ANGELINA,BIDEN,8579,43,29,14
ANGELINA,OTH,380,43,29,14
ANGELINA,TRUMP,23799,43,29,14
ARANSAS,BIDEN,2896,6,6,0
ARANSAS,OTH,135,6,6,0
ARANSAS,TRUMP,9210,6,6,0
ARCHER,BIDEN,446,12,12,0
ARCHER,OTH,50,12,12,0
ARCHER,TRUMP,4300,12,12,0
ARMSTRONG,BIDEN,0,8,0,8
ARMSTRONG,OTH,0,8,0,8
ARMSTRONG,TRUMP,0,8,0,8
ATASCOSA,BIDEN,3903,25,1,24
ATASCOSA,OTH,143,25,1,24
ATASCOSA,TRUMP,9181,25,1,24
AUSTIN,BIDEN,2436,18,17,1
AUSTIN,OTH,117,18,17,1
AUSTIN,TRUMP,8991,18,17,1
BAILEY,BIDEN,407,5,5,0
BAILEY,OTH,17,5,5,0
BAILEY,TRUMP,1430,5,5,0
BANDERA,BIDEN,2503,11,11,0
BANDERA,OTH,150,11,11,0
BANDERA,TRUMP,10050,11,11,0
BASTROP,BIDEN,15452,23,23,0
BASTROP,OTH,674,23,23,0
BASTROP,TRUMP,20486,23,23,0
BAYLOR,BIDEN,179,5,5,0
BAYLOR,OTH,23,5,5,0
BAYLOR,TRUMP,1478,5,5,0
BEE,BIDEN,3280,18,18,0
BEE,OTH,126,18,18,0
BEE,TRUMP,5999,18,18,0
BELL,BIDEN,47880,49,1,48
BELL,OTH,1651,49,1,48
BELL,TRUMP,53404,49,1,48
BEXAR,BIDEN,399913,767,50,717
BEXAR,OTH,9255,767,50,717
BEXAR,TRUMP,268357,767,50,717
BLANCO,BIDEN,0,7,0,7
BLANCO,OTH,0,7,0,7
BLANCO,TRUMP,0,7,0,7
BORDEN,BIDEN,16,8,8,0
BORDEN,OTH,1,8,8,0
BORDEN,TRUMP,395,8,8,0
BOSQUE,BIDEN,1330,12,6,6
BOSQUE,OTH,69,12,6,6
BOSQUE,TRUMP,6138,12,6,6
BOWIE,BIDEN,0,43,0,43
BOWIE,OTH,0,43,0,43
BOWIE,TRUMP,0,43,0,43
BRAZORIA,BIDEN,58346,67,18,49
BRAZORIA,OTH,2028,67,18,49
BRAZORIA,TRUMP,84811,67,18,49
BRAZOS,BIDEN,35242,99,99,0
BRAZOS,OTH,2055,99,99,0
BRAZOS,TRUMP,47456,99,99,0
BREWSTER,BIDEN,0,9,0,9
BREWSTER,OTH,0,9,0,9
BREWSTER,TRUMP,0,9,0,9
BRISCOE,BIDEN,77,6,6,0
BRISCOE,OTH,8,6,6,0
BRISCOE,TRUMP,639,6,6,0
BROOKS,BIDEN,1470,6,6,0
BROOKS,OTH,16,6,6,0
BROOKS,TRUMP,998,6,6,0
BROWN,BIDEN,2103,19,19,0
BROWN,OTH,156,19,19,0
BROWN,TRUMP,13681,19,19,0
BURLESON,BIDEN,1786,14,14,0
BURLESON,OTH,78,14,14,0
BURLESON,TRUMP,6740,14,14,0
BURNET,BIDEN,5615,21,21,0
BURNET,OTH,310,21,21,0
BURNET,TRUMP,18721,21,21,0
CALDWELL,BIDEN,6536,32,32,0
CALDWELL,OTH,264,32,32,0
CALDWELL,TRUMP,7975,32,32,0
CALHOUN,BIDEN,1769,26,1,25
CALHOUN,OTH,48,26,1,25
CALHOUN,TRUMP,3878,26,1,25
CALLAHAN,BIDEN,734,8,8,0
CALLAHAN,OTH,86,8,8,0
CALLAHAN,TRUMP,6006,8,8,0
CAMERON,BIDEN,47574,104,1,103
CAMERON,OTH,789,104,1,103
CAMERON,TRUMP,37610,104,1,103
CAMP,BIDEN,0,5,0,5
CAMP,OTH,0,5,0,5
CAMP,TRUMP,0,5,0,5
CARSON,BIDEN,289,9,9,0
CARSON,OTH,45,9,9,0
CARSON,TRUMP,2747,9,9,0
CASS,BIDEN,2777,19,19,0
CASS,OTH,100,19,19,0
CASS,TRUMP,10979,19,19,0
CASTRO,BIDEN,466,9,9,0
CASTRO,OTH,15,9,9,0
CASTRO,TRUMP,1601,9,9,0
CHAMBERS,BIDEN,3997,15,15,0
CHAMBERS,OTH,301,15,15,0
CHAMBERS,TRUMP,17343,15,15,0
CHEROKEE,BIDEN,4196,25,25,0
CHEROKEE,OTH,196,25,25,0
CHEROKEE,TRUMP,15065,25,25,0
CHILDRESS,BIDEN,0,5,0,5
CHILDRESS,OTH,0,5,0,5
CHILDRESS,TRUMP,0,5,0,5
CLAY,BIDEN,614,17,17,0
CLAY,OTH,58,17,17,0
CLAY,TRUMP,5064,17,17,0
COCHRAN,BIDEN,176,4,4,0
COCHRAN,OTH,14,4,4,0
COCHRAN,TRUMP,806,4,4,0
COKE,BIDEN,131,5,5,0
COKE,OTH,14,5,5,0
COKE,TRUMP,1403,5,5,0
COLEMAN,BIDEN,450,5,5,0
COLEMAN,OTH,32,5,5,0
COLEMAN,TRUMP,3638,5,5,0
COLLIN,BIDEN,211428,240,14,226
COLLIN,OTH,6159,240,14,226
COLLIN,TRUMP,229595,240,14,226
COLLINGSWORTH,BIDEN,155,8,8,0
COLLINGSWORTH,OTH,15,8,8,0
COLLINGSWORTH,TRUMP,1048,8,8,0
COLORADO,BIDEN,0,5,0,5
COLORADO,OTH,0,5,0,5
COLORADO,TRUMP,0,5,0,5
COMAL,BIDEN,24369,30,30,0
COMAL,OTH,1313,30,30,0
COMAL,TRUMP,62260,30,30,0
COMANCHE,BIDEN,686,15,1,14
COMANCHE,OTH,29,15,1,14
COMANCHE,TRUMP,3965,15,1,14
CONCHO,BIDEN,197,9,9,0
CONCHO,OTH,13,9,9,0
CONCHO,TRUMP,1058,9,9,0
COOKE,BIDEN,2555,30,1,29
COOKE,OTH,127,30,1,29
COOKE,TRUMP,10956,30,1,29
CORYELL,BIDEN,7542,16,16,0
CORYELL,OTH,486,16,16,0
CORYELL,TRUMP,15397,16,16,0
COTTLE,BIDEN,113,5,5,0
COTTLE,OTH,9,5,5,0
COTTLE,TRUMP,543,5,5,0
CRANE,BIDEN,241,4,4,0
CRANE,OTH,15,4,4,0
CRANE,TRUMP,1247,4,4,0
CROCKETT,BIDEN,0,5,0,5
CROCKETT,OTH,0,5,0,5
CROCKETT,TRUMP,0,5,0,5
CROSBY,BIDEN,527,5,5,0
CROSBY,OTH,30,5,5,0
CROSBY,TRUMP,1396,5,5,0
CULBERSON,BIDEN,438,6,6,0
CULBERSON,OTH,11,6,6,0
CULBERSON,TRUMP,415,6,6,0
DALLAM,BIDEN,196,10,10,0
DALLAM,OTH,23,10,10,0
DALLAM,TRUMP,1386,10,10,0
DALLAS,BIDEN,526075,1170,1,1169
DALLAS,OTH,9981,1170,1,1169
DALLAS,TRUMP,261349,1170,1,1169
DAWSON,BIDEN,808,10,10,0
DAWSON,OTH,30,10,10,0
DAWSON,TRUMP,2951,10,10,0
DEAF SMITH,BIDEN,1263,5,5,0
DEAF SMITH,OTH,52,5,5,0
DEAF SMITH,TRUMP,3293,5,5,0
DELTA,BIDEN,403,8,8,0
DELTA,OTH,27,8,8,0
DELTA,TRUMP,2157,8,8,0
DENTON,BIDEN,183806,186,122,64
DENTON,OTH,6395,186,122,64
DENTON,TRUMP,216525,186,122,64
DEWITT,BIDEN,1494,10,10,0
DEWITT,OTH,57,10,10,0
DEWITT,TRUMP,6567,10,10,0
DICKENS,BIDEN,130,7,7,0
DICKENS,OTH,5,7,7,0
DICKENS,TRUMP,850,7,7,0
DIMMIT,BIDEN,2264,8,8,0
DIMMIT,OTH,18,8,8,0
DIMMIT,TRUMP,1384,8,8,0
DONLEY,BIDEN,143,7,1,6
DONLEY,OTH,6,7,1,6
DONLEY,TRUMP,1009,7,1,6
DUVAL,BIDEN,0,10,0,10
DUVAL,OTH,0,10,0,10
DUVAL,TRUMP,0,10,0,10
EASTLAND,BIDEN,792,10,1,9
EASTLAND,OTH,46,10,1,9
EASTLAND,TRUMP,5683,10,1,9
ECTOR,BIDEN,11310,41,41,0
ECTOR,OTH,521,41,41,0
ECTOR,TRUMP,32586,41,41,0
EDWARDS,BIDEN,0,5,0,5
EDWARDS,OTH,0,5,0,5
EDWARDS,TRUMP,0,5,0,5
EL PASO,BIDEN,144128,209,1,208
EL PASO,OTH,3061,209,1,208
EL PASO,TRUMP,66122,209,1,208
ELLIS,BIDEN,24329,50,50,0
ELLIS,OTH,928,50,50,0
ELLIS,TRUMP,49383,50,50,0
ERATH,BIDEN,2914,22,22,0
ERATH,OTH,254,22,22,0
ERATH,TRUMP,13669,22,22,0
FALLS,BIDEN,988,13,13,0
FALLS,OTH,8,13,13,0
FALLS,TRUMP,2081,13,13,0
FANNIN,BIDEN,2124,17,16,1
FANNIN,OTH,113,17,16,1
FANNIN,TRUMP,8804,17,16,1
FAYETTE,BIDEN,2270,27,5,22
FAYETTE,OTH,80,27,5,22
FAYETTE,TRUMP,7982,27,5,22
FISHER,BIDEN,352,5,5,0
FISHER,OTH,26,5,5,0
FISHER,TRUMP,1448,5,5,0
FLOYD,BIDEN,0,7,0,7
FLOYD,OTH,0,7,0,7
FLOYD,TRUMP,0,7,0,7
FOARD,BIDEN,99,5,5,0
FOARD,OTH,7,5,5,0
FOARD,TRUMP,445,5,5,0
FORT BEND,BIDEN,43784,160,1,159
FORT BEND,OTH,622,160,1,159
FORT BEND,TRUMP,29263,160,1,159
FRANKLIN,BIDEN,803,9,9,0
FRANKLIN,OTH,44,9,9,0
FRANKLIN,TRUMP,4153,9,9,0
FREESTONE,BIDEN,1629,16,16,0
FREESTONE,OTH,83,16,16,0
FREESTONE,TRUMP,6966,16,16,0
FRIO,BIDEN,1825,10,10,0
FRIO,OTH,17,10,10,0
FRIO,TRUMP,1865,10,10,0
GAINES,BIDEN,572,9,9,0
GAINES,OTH,65,9,9,0
GAINES,TRUMP,5323,9,9,0
GALVESTON,BIDEN,45461,93,22,71
GALVESTON,OTH,1734,93,22,71
GALVESTON,TRUMP,78805,93,22,71
GARZA,BIDEN,231,7,7,0
GARZA,OTH,9,7,7,0
GARZA,TRUMP,1411,7,7,0
GILLESPIE,BIDEN,1895,14,1,13
GILLESPIE,OTH,104,14,1,13
GILLESPIE,TRUMP,8574,14,1,13
GLASSCOCK,BIDEN,39,5,5,0
GLASSCOCK,OTH,3,5,5,0
GLASSCOCK,TRUMP,611,5,5,0
GOLIAD,BIDEN,0,10,0,10
GOLIAD,OTH,0,10,0,10
GOLIAD,TRUMP,0,10,0,10
GONZALES,BIDEN,1894,16,16,0
GONZALES,OTH,72,16,16,0
GONZALES,TRUMP,5568,16,16,0
GRAY,BIDEN,820,8,8,0
GRAY,OTH,113,8,8,0
GRAY,TRUMP,6812,8,8,0
GRAYSON,BIDEN,12511,37,1,36
GRAYSON,OTH,546,37,1,36
GRAYSON,TRUMP,37244,37,1,36
GREGG,BIDEN,13102,22,22,0
GREGG,OTH,537,22,22,0
GREGG,TRUMP,29048,22,22,0
GRIMES,BIDEN,0,15,0,15
GRIMES,OTH,0,15,0,15
GRIMES,TRUMP,0,15,0,15
GUADALUPE,BIDEN,28706,72,72,0
GUADALUPE,OTH,1253,72,72,0
GUADALUPE,TRUMP,47423,72,72,0
HALE,BIDEN,2271,31,31,0
HALE,OTH,127,31,31,0
HALE,TRUMP,7162,31,31,0
HALL,BIDEN,167,5,5,0
HALL,OTH,6,5,5,0
HALL,TRUMP,992,5,5,0
HAMILTON,BIDEN,0,12,0,12
HAMILTON,OTH,0,12,0,12
HAMILTON,TRUMP,0,12,0,12
HANSFORD,BIDEN,166,8,8,0
HANSFORD,OTH,32,8,8,0
HANSFORD,TRUMP,1848,8,8,0
HARDEMAN,BIDEN,241,4,4,0
HARDEMAN,OTH,9,4,4,0
HARDEMAN,TRUMP,1330,4,4,0
HARDIN,BIDEN,3449,20,20,0
HARDIN,OTH,300,20,20,0
HARDIN,TRUMP,23806,20,20,0
HARRIS,BIDEN,789176,1013,1,1012
HARRIS,OTH,16549,1013,1,1012
HARRIS,TRUMP,601206,1013,1,1012
HARRISON,BIDEN,0,27,0,27
HARRISON,OTH,0,27,0,27
HARRISON,TRUMP,0,27,0,27
HARTLEY,BIDEN,195,7,7,0
HARTLEY,OTH,15,7,7,0
HARTLEY,TRUMP,1866,7,7,0
HASKELL,BIDEN,0,5,0,5
HASKELL,OTH,0,5,0,5
HASKELL,TRUMP,0,5,0,5
HAYS,BIDEN,54200,69,1,68
HAYS,OTH,1724,69,1,68
HAYS,TRUMP,42289,69,1,68
HEMPHILL,BIDEN,153,9,1,8
HEMPHILL,OTH,15,9,1,8
HEMPHILL,TRUMP,1007,9,1,8
HENDERSON,BIDEN,0,28,0,28
HENDERSON,OTH,0,28,0,28
